epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.4152,1.31459,0.7848,0.9904,0.56561,0.000299557,0.000299557,0.000299557
2,25.3968,0.26708,0.9144,0.9984,0.2314,0.000587644,0.000587644,0.000587644
3,34.0389,0.17361,0.9256,1,0.23976,0.000860732,0.000860732,0.000860732
4,42.6541,0.13885,0.9552,1,0.13357,0.000841507,0.000841507,0.000841507
5,51.345,0.09648,0.96,0.9992,0.11866,0.000819009,0.000819009,0.000819009
6,60.1497,0.09569,0.9544,0.9992,0.13664,0.000796511,0.000796511,0.000796511
7,68.4365,0.08591,0.98,0.9992,0.07397,0.000774013,0.000774013,0.000774013
8,76.8616,0.07587,0.9704,0.9976,0.08743,0.000751516,0.000751516,0.000751516
9,85.1381,0.05451,0.9696,0.9992,0.0898,0.000729018,0.000729018,0.000729018
10,93.8147,0.05902,0.9704,0.9992,0.09674,0.00070652,0.00070652,0.00070652
11,102.439,0.0534,0.9608,0.9992,0.12895,0.000684022,0.000684022,0.000684022
12,111.195,0.04576,0.9744,1,0.07351,0.000661525,0.000661525,0.000661525
13,119.989,0.06005,0.976,1,0.08118,0.000639027,0.000639027,0.000639027
14,128.301,0.04695,0.964,1,0.10905,0.000616529,0.000616529,0.000616529
15,136.739,0.04968,0.9608,0.9992,0.13013,0.000594031,0.000594031,0.000594031
16,145.306,0.03522,0.9704,1,0.11213,0.000571534,0.000571534,0.000571534
17,153.865,0.03838,0.9776,0.9992,0.07702,0.000549036,0.000549036,0.000549036
