epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.91,1.32238,0.78762,0.99451,0.56253,0.000299707,0.000299707,0.000299707
2,24.7802,0.3091,0.93652,0.99843,0.20881,0.00058779,0.00058779,0.00058779
3,34.4709,0.20614,0.92476,0.99608,0.19178,0.000860874,0.000860874,0.000860874
4,43.4333,0.19022,0.94436,0.99765,0.16146,0.000841507,0.000841507,0.000841507
5,52.268,0.15294,0.95376,0.99765,0.14571,0.000819009,0.000819009,0.000819009
6,61.1692,0.13659,0.95846,0.99922,0.12867,0.000796511,0.000796511,0.000796511
7,69.3224,0.10792,0.95925,0.99765,0.13478,0.000774013,0.000774013,0.000774013
8,77.6184,0.08761,0.96708,0.99843,0.09272,0.000751516,0.000751516,0.000751516
9,86.4081,0.07643,0.95298,0.99843,0.14912,0.000729018,0.000729018,0.000729018
10,94.7563,0.07677,0.97179,0.99843,0.09151,0.00070652,0.00070652,0.00070652
11,103.588,0.07418,0.97649,0.99765,0.07713,0.000684022,0.000684022,0.000684022
12,115.266,0.07946,0.971,0.99922,0.09267,0.000661525,0.000661525,0.000661525
13,123.97,0.07372,0.94749,1,0.15316,0.000639027,0.000639027,0.000639027
14,132.125,0.06135,0.9569,0.99687,0.1342,0.000616529,0.000616529,0.000616529
15,140.816,0.06453,0.96238,0.99922,0.11683,0.000594031,0.000594031,0.000594031
16,165.631,0.04792,0.96473,0.99843,0.1074,0.000571534,0.000571534,0.000571534
17,179.08,0.04689,0.95141,0.99922,0.16361,0.000549036,0.000549036,0.000549036
18,196.786,0.05783,0.94906,0.99922,0.18655,0.000526538,0.000526538,0.000526538
19,210.944,0.05275,0.96552,0.99765,0.1222,0.00050404,0.00050404,0.00050404
20,232.561,0.06398,0.9616,0.99922,0.11554,0.000481543,0.000481543,0.000481543
21,240.631,0.05541,0.94671,0.99843,0.17313,0.000459045,0.000459045,0.000459045
